"id","title","years","duration","rating","people_rating","critic_rating","votes"
1,"Animal","2023","204","18","7.1","33","38,908"
2,"May December","2023","117","15","7.1","85","15,115"
3,"Leave the World Behind","2023","138","R","6.6","67","44,818"
4,"Godzilla Minus One","2023","124","12A","8.5","79","14,683"
5,"Napoleon","2023","158","15","6.6","64","59,922"
6,"Killers of the Flower Moon","2023","206","15","7.9","89","115,997"
7,"Candy Cane Lane","2023","117","12","5.6","47","9,207"
8,"Furiosa: A Mad Max Saga","2024","N/A",NULL,NULL,NULL,"N/A"
9,"The Hunger Games: The Ballad of Songbirds & Snakes","2023","157","12A","7.2","54","49,615"
10,"Wonka","2023","116","PG","7.5","69","7,313"
11,"Lady Ballers","2023","112","TV-14","6.3",NULL,"8,406"
12,"Poor Things","2023","141","R","8.5","88","4,684"
13,"Family Switch","2023","106","PG","5.6","37","12,614"
14,"Saltburn","2023","131","15","7.5","60","11,386"
15,"Oppenheimer","2023","180","15","8.4","89","543,779"
16,"Godzilla x Kong: The New Empire","2024","N/A",NULL,NULL,NULL,"N/A"
17,"Indiana Jones and the Dial of Destiny","2023","154","12A","6.6","58","151,330"
18,"Leo","2023","102","PG","7.0","65","18,134"
19,"Home Alone","1990","103","PG","7.7","63","624,662"
20,"The Holdovers","2023","133","R","8.1","82","18,910"
21,"The Archies","2023","141","12","6.8","65","29,050"
22,"Silent Night","2023","104","R","5.8","54","3,016"
23,"Love Actually","2003","135","15","7.6","55","513,830"
24,"National Lampoon's Christmas Vacation","1989","97","12","7.5","49","210,863"
25,"Elf","2003","97","PG","7.1","66","297,432"
26,"The Killer","2023","118","15","6.8","73","132,543"
27,"The Shift","2023","115","PG-13","6.5",NULL,"1,891"
28,"Thanksgiving","2023","106","18","6.9","63","12,470"
29,"The Boy and the Heron","2023","124","12A","7.7","92","11,439"
30,"How the Grinch Stole Christmas","2000","104","PG","6.3","46","277,997"
31,"Wish","2023","95","U","5.9","47","9,511"
32,"A Haunting in Venice","2023","103","12A","6.5","63","80,246"
33,"Barbie","2023","114","12A","7.0","80","402,533"
34,"The Super Mario Bros. Movie","2023","92","PG","7.1","46","209,880"
35,"The Creator","2023","133","12A","6.9","63","86,861"
36,"Five Nights at Freddy's","2023","109","15","5.5","33","76,432"
37,"The Marvels","2023","105","12A","5.9","50","61,892"
38,"Maestro","2023","129","15","7.3","78","2,527"
39,"The Grinch","2018","85","U","6.4","51","83,517"
40,"Violent Night","2022","112","15","6.7","55","85,245"
41,"Mad Max: Fury Road","2015","120","15","8.1","90","1,060,645"
42,"The Hunger Games","2012","142","15","7.2","68","979,623"
43,"Trolls Band Together","2023","91","U","6.0","53","6,496"
44,"Dream Scenario","2023","102","15","7.4","74","6,674"
45,"Aquaman and the Lost Kingdom","2023","124","PG-13",NULL,NULL,"N/A"
46,"The Santa Clause","1994","97","U","6.5","57","129,224"
47,"Genie","2023","93","PG","5.9","35","4,904"
48,"Rebel Moon - Part One: A Child of Fire","2023","133","15",NULL,NULL,"N/A"
49,"Die Hard","1988","132","18","8.2","72","921,912"
50,"Eileen","2023","97","15","6.7","71","1,628"
51,"Home Alone 2: Lost in New York","1992","120","PG","6.9","46","387,017"
52,"The Polar Express","2004","100","U","6.6","61","231,333"
53,"In the Land of Saints and Sinners","2023","106","R","6.1",NULL,"2,540"
54,"X","2022","105","18","6.5","79","155,788"
55,"Mr. Monk's Last Case: A Monk Movie","2023","97","TV-PG","7.3","65","1,913"
56,"Tiger 3","2023","154",NULL,"7.4",NULL,"43,264"
57,"Anyone But You","2023","100",NULL,NULL,NULL,"N/A"
58,"Freelance","2023","108","15","5.4","24","5,953"
59,"Leo","2023","164","18","7.3",NULL,"48,841"
60,"No Hard Feelings","2023","103","15","6.4","59","115,441"
61,"Spider-Man: Across the Spider-Verse","2023","140","PG","8.7","86","310,280"
62,"Mission: Impossible - Dead Reckoning Part One","2023","163","12A","7.8","81","198,966"
63,"Dune: Part Two","2024","195","PG-13",NULL,NULL,"N/A"
64,"A Christmas Story","1983","93","PG","7.9","77","163,738"
65,"There's Something in the Barn","2023","100","15","5.7",NULL,"1,297"
66,"The Holiday","2006","136","12A","6.9","52","310,008"
67,"The Silencing","2020","93","15","6.2",NULL,"31,085"
68,"The Iron Claw","2023","130",NULL,NULL,NULL,"N/A"
69,"The Batman","2022","176","15","7.8","72","748,728"
70,"Talk to Me","2022","95","15","7.1","76","109,166"
71,"Blue Beetle","2023","127","12A","6.0","61","76,508"
72,"White Christmas","1954","120","U","7.6","56","48,022"
73,"Anatomy of a Fall","2023","151","15","7.9","86","19,078"
74,"It's a Wonderful Life","1946","130","U","8.6","89","484,758"
75,"The Exorcist: Believer","2023","111","15","4.8","39","30,732"
76,"Everything Everywhere All at Once","2022","139","15","7.8","81","493,241"
77,"Interstellar","2014","169","12A","8.7","74","2,023,568"
78,"Sam Bahadur","2023","150",NULL,"8.2",NULL,"5,141"
79,"Harry Potter and the Philosopher's Stone","2001","152","PG","7.6","65","836,597"
80,"Jawan","2023","169","15","7.0",NULL,"79,653"
81,"The Colour Purple","2023","140","PG-13",NULL,NULL,"N/A"
82,"The Equalizer 3","2023","109","15","6.9","58","75,738"
83,"The Suicide Squad","2021","132","15","7.2","72","394,126"
84,"Spirited","2022","127","12A","6.6","55","45,504"
85,"Renaissance: A Film by Beyoncé","2023","169","15","8.9","86","2,231"
86,"Scott Pilgrim vs. the World","2010","112","12A","7.5","69","457,077"
87,"The Shawshank Redemption","1994","142","15","9.3","82","2,829,017"
88,"Best. Christmas. Ever!","2023","82","PG","4.3","34","7,112"
89,"Deadpool 3","2024","N/A",NULL,NULL,NULL,"N/A"
90,"Last Christmas","2019","103","12A","6.5","50","86,542"
91,"Fast Charlie","2023","90",NULL,"5.9",NULL,"1,695"
92,"Scrooged","1988","101","PG","6.9","38","111,599"
93,"Godzilla vs. Kong","2021","113","12A","6.3","59","229,711"
94,"Past Lives","2023","105","12A","8.0","94","46,603"
95,"John Wick: Chapter 4","2023","169","15","7.7","78","305,620"
96,"Dune","2021","155","12A","8.0","74","731,938"
97,"Reptile","2023","134","15","6.8","52","71,050"
98,"It's a Wonderful Knife","2023","87","R","5.3","51","2,821"
99,"Gladiator","2000","155","15","8.5","67","1,582,180"
100,"Shin Godzilla","2016","120","12A","6.8","67","32,447"
101,"Hunter Killer","2018","121","15","6.6","43","70,634"
102,"The Wolf of Wall Street","2013","180","18","8.2","75","1,534,777"
103,"The Godfather","1972","175","15","9.2","100","1,971,862"
104,"Ferrari","2023","130","15","6.6","74","1,360"
105,"I.S.S.","2023","95","R","7.0",NULL,"63"
106,"12th Fail","2023","147","12A","9.2",NULL,"9,618"
107,"The Hunger Games: Catching Fire","2013","146","12A","7.5","76","705,702"
108,"Willy Wonka & the Chocolate Factory","1971","100","U","7.8","67","217,356"
109,"Miracle on 34th Street","1994","114","U","6.6",NULL,"41,730"
110,"Suicide Squad","2016","123","15","5.9","40","712,805"
111,"Feast of the Seven Fishes","2019","99","12","6.8","68","2,495"
112,"Sound of Freedom","2023","131","15","7.7","36","88,512"
113,"Godzilla","2014","123","12A","6.4","62","431,664"
114,"Charlie and the Chocolate Factory","2005","115","PG","6.7","72","512,644"
115,"Uncle Buck","1989","100","12","7.1","51","105,490"
116,"Klaus","2019","96","PG","8.2","65","176,773"
117,"Jingle All The Way","1996","89","PG","5.7","34","112,308"
118,"Office Christmas Party","2016","105","15","5.9","42","85,620"
119,"Bottoms","2023","91","15","6.8","74","24,019"
120,"A Christmas Carol","2009","96","PG","6.8","55","125,935"
121,"EXmas","2023","93","12","5.7",NULL,"2,986"
122,"Christmas with the Kranks","2004","99","PG","5.4","22","55,218"
123,"The Dark Knight","2008","152","12A","9.0","84","2,810,391"
124,"Prometheus","2012","124","15","7.0","64","634,624"
125,"Gremlins","1984","106","15","7.3","70","241,301"
126,"Four Christmases","2008","88","12A","5.7","41","78,179"
127,"Mean Girls","2024","N/A",NULL,NULL,NULL,"N/A"
128,"The Naughty Nine","2023","83","TV-PG","5.1",NULL,"1,253"
129,"Titanic","1997","194","12","7.9","75","1,256,604"
130,"Watchmen","2009","162","18","7.6","56","573,653"
131,"Argylle","2024","135","PG-13",NULL,NULL,"N/A"
132,"The Zone of Interest","2023","105","PG-13","8.0","94","1,562"
133,"The Santa Clause 2","2002","104","U","5.7","48","62,429"
134,"The Lord of the Rings: The Fellowship of the Ring","2001","178","PG","8.8","92","1,963,964"
135,"Christmas as Usual","2023","88","12","5.5",NULL,"1,767"
136,"Gladiator 2","2024","N/A",NULL,NULL,NULL,"N/A"
137,"When Evil Lurks","2023","99","15","7.0","75","16,138"
138,"Blade Runner 2049","2017","164","15","8.0","81","636,040"
139,"Asteroid City","2023","105","12A","6.6","75","89,596"
140,"A Good Person","2023","128","15","7.1","50","17,285"
141,"Old Dads","2023","104","15","6.2","42","32,814"
142,"Krampus","2015","98","15","6.2","49","81,104"
143,"The Boys in the Boat","2023","124","PG-13",NULL,NULL,"N/A"
144,"Guardians of the Galaxy Vol. 3","2023","150","12A","7.9","64","350,011"
145,"Fight Club","1999","139","18","8.8","67","2,264,583"
146,"The Marsh King's Daughter","2023","109","R","5.9","46","4,343"
147,"Gran Turismo","2023","134","12A","7.2","48","62,827"
148,"Migration","2023","92","PG","7.2",NULL,"383"
149,"Fargo","1996","98","18","8.1","86","710,507"
150,"Pain Hustlers","2023","123","15","6.5","44","31,175"
151,"Dumb Money","2023","105","15","6.9","66","20,137"
152,"Saw X","2023","118","18","6.6","60","58,467"
153,"Priscilla","2023","113","15","7.1","78","6,198"
154,"Beetlejuice 2","2024","N/A",NULL,NULL,NULL,"N/A"
