id,title,genre,years,duration,rating,people_rating,critic_rating,votes
1,Animal,Action,2023,204,,7,33,"40,330"
2,May December,Comedy,2023,117,R,7,85,"15,733"
3,Leave the World Behind,Drama,2023,138,R,6.6,67,"50,890"
4,Godzilla Minus One,Action,2023,124,PG-13,8.5,79,"15,353"
5,Napoleon,Action,2023,158,R,6.6,64,"60,662"
6,Killers of the Flower Moon,Crime,2023,206,R,7.9,89,"117,293"
7,Candy Cane Lane,Comedy,2023,117,PG,5.6,47,"9,531"
8,Furiosa: A Mad Max Saga,Action,2024,N/A,,,,N/A
9,The Hunger Games: The Ballad of Songbirds & Snakes,Action,2023,157,PG-13,7.2,54,"50,308"
10,Wonka,Adventure,2023,116,PG,7.4,68,"8,263"
11,Lady Ballers,Comedy,2023,112,TV-14,6.3,,"8,543"
12,Poor Things,Comedy,2023,141,R,8.5,87,"4,796"
13,Family Switch,Comedy,2023,106,PG,5.6,37,"13,028"
14,Saltburn,Comedy,2023,131,R,7.5,60,"11,591"
15,Oppenheimer,Biography,2023,180,R,8.4,89,"544,813"
16,Godzilla x Kong: The New Empire,Action,2024,N/A,,,,N/A
17,Indiana Jones and the Dial of Destiny,Action,2023,154,PG-13,6.6,58,"151,691"
18,Leo,Animation,2023,102,PG,7,65,"18,422"
19,Home Alone,Comedy,1990,103,PG,7.7,63,"625,105"
20,The Holdovers,Comedy,2023,133,R,8.1,82,"19,464"
21,The Archies,Comedy,2023,141,TV-14,6.7,67,"29,660"
22,Silent Night,Action,2023,104,R,5.8,54,"3,147"
23,Love Actually,Comedy,2003,135,R,7.6,55,"514,117"
24,National Lampoon's Christmas Vacation,Comedy,1989,97,PG-13,7.5,49,"211,023"
25,Elf,Adventure,2003,97,PG,7.1,66,"297,640"
26,The Killer,Action,2023,118,R,6.8,73,"133,305"
27,The Shift,Sci-Fi,2023,115,PG-13,6.5,,"1,955"
28,Thanksgiving,Horror,2023,106,R,6.9,63,"12,617"
29,The Boy and the Heron,Animation,2023,124,PG-13,7.7,92,"11,941"
30,How the Grinch Stole Christmas,Comedy,2000,104,PG,6.3,46,"278,277"
31,Wish,Animation,2023,95,PG,5.9,47,"9,632"
32,A Haunting in Venice,Crime,2023,103,PG-13,6.5,63,"80,690"
33,Barbie,Adventure,2023,114,PG-13,7,80,"403,169"
34,The Super Mario Bros. Movie,Animation,2023,92,PG,7.1,46,"210,138"
35,The Creator,Action,2023,133,PG-13,6.9,63,"87,404"
36,Five Nights at Freddy's,Horror,2023,109,PG-13,5.5,33,"76,601"
37,The Marvels,Action,2023,105,PG-13,5.9,50,"62,216"
38,Maestro,Biography,2023,129,R,7.3,78,"2,648"
