"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
7,"Animal","Action","2023","204","18","7.1","33","39,944"
8,"May December","Comedy","2023","117","15","7.1","85","15,334"
9,"Leave the World Behind","Drama","2023","138","R","6.6","67","46,717"
10,"Godzilla Minus One","Action","2023","124","12A","8.5","79","14,896"
11,"Napoleon","Action","2023","158","15","6.6","64","60,170"
12,"Killers of the Flower Moon","Crime","2023","206","15","7.9","89","116,465"
13,"Candy Cane Lane","Comedy","2023","117","12","5.6","47","9,300"
14,"Furiosa: A Mad Max Saga","Action","2024","N/A",NULL,NULL,NULL,"N/A"
15,"The Hunger Games: The Ballad of Songbirds & Snakes","Action","2023","157","12A","7.2","54","49,872"
16,"Wonka","Adventure","2023","116","PG","7.4","69","7,550"
17,"Lady Ballers","Comedy","2023","112","TV-14","6.3",NULL,"8,473"
18,"Poor Things","Comedy","2023","141","R","8.5","88","4,727"
19,"Family Switch","Comedy","2023","106","PG","5.6","37","12,756"
20,"Saltburn","Comedy","2023","131","15","7.5","60","11,452"
21,"Oppenheimer","Biography","2023","180","15","8.4","89","544,228"
22,"Godzilla x Kong: The New Empire","Action","2024","N/A",NULL,NULL,NULL,"N/A"
23,"Indiana Jones and the Dial of Destiny","Action","2023","154","12A","6.6","58","151,457"
24,"Leo","Animation","2023","102","PG","7.0","65","18,238"
25,"Home Alone","Comedy","1990","103","PG","7.7","63","624,814"
26,"The Holdovers","Comedy","2023","133","R","8.1","82","19,071"
27,"The Archies","Comedy","2023","141","12","6.7","65","29,427"
28,"Silent Night","Action","2023","104","R","5.8","54","3,047"
29,"Love Actually","Comedy","2003","135","15","7.6","55","513,915"
30,"National Lampoon's Christmas Vacation","Comedy","1989","97","12","7.5","49","210,895"
31,"Elf","Adventure","2003","97","PG","7.1","66","297,498"
32,"The Killer","Action","2023","118","15","6.8","73","132,786"
33,"The Shift","Sci-Fi","2023","115","PG-13","6.5",NULL,"1,914"
34,"Thanksgiving","Horror","2023","106","18","6.9","63","12,508"
35,"The Boy and the Heron","Animation","2023","124","12A","7.7","92","11,615"
36,"How the Grinch Stole Christmas","Comedy","2000","104","PG","6.3","46","278,083"
37,"Wish","Animation","2023","95","U","5.9","47","9,549"
38,"A Haunting in Venice","Crime","2023","103","12A","6.5","63","80,392"
39,"Barbie","Adventure","2023","114","12A","7.0","80","402,815"
40,"The Super Mario Bros. Movie","Animation","2023","92","PG","7.1","46","209,973"
41,"The Creator","Action","2023","133","12A","6.9","63","87,047"
42,"Five Nights at Freddy's","Horror","2023","109","15","5.5","33","76,496"
43,"The Marvels","Action","2023","105","12A","5.9","50","62,015"
44,"Maestro","Biography","2023","129","15","7.3","78","2,565"
45,"The Grinch","Animation","2018","85","U","6.4","51","83,553"
46,"Violent Night","Action","2022","112","15","6.7","55","85,317"
47,"Mad Max: Fury Road","Action","2015","120","15","8.1","90","1,060,712"
48,"The Hunger Games","Action","2012","142","15","7.2","68","979,734"
49,"Trolls Band Together","Animation","2023","91","U","6.0","53","6,527"
50,"Dream Scenario","Comedy","2023","102","15","7.4","74","6,710"
51,"Aquaman and the Lost Kingdom","Action","2023","124","PG-13",NULL,NULL,"N/A"
52,"The Santa Clause","Comedy","1994","97","U","6.5","57","129,248"
53,"Genie","Comedy","2023","93","PG","5.9","35","4,936"
54,"Rebel Moon - Part One: A Child of Fire","Action","2023","133","15",NULL,NULL,"N/A"
55,"Die Hard","Action","1988","132","18","8.2","72","921,968"
56,"Eileen","Drama","2023","97","15","6.7","71","1,642"
57,"Home Alone 2: Lost in New York","Adventure","1992","120","PG","6.9","46","387,068"
58,"The Polar Express","Animation","2004","100","U","6.6","61","231,410"
59,"In the Land of Saints and Sinners","Action","2023","106","R","6.1",NULL,"2,560"
60,"X","Horror","2022","105","18","6.5","79","155,818"
61,"Mr. Monk's Last Case: A Monk Movie","Comedy","2023","97","TV-PG","7.3","65","1,986"
62,"Tiger 3","Action","2023","154",NULL,"7.4",NULL,"43,341"
63,"Anyone But You","Comedy","2023","100",NULL,NULL,NULL,"N/A"
64,"Freelance","Action","2023","108","15","5.4","24","6,001"
65,"Leo","Action","2023","164","18","7.3",NULL,"48,915"
66,"No Hard Feelings","Comedy","2023","103","15","6.4","59","115,502"
67,"Spider-Man: Across the Spider-Verse","Animation","2023","140","PG","8.7","86","310,445"
68,"Mission: Impossible - Dead Reckoning Part One","Action","2023","163","12A","7.8","81","199,056"
69,"Dune: Part Two","Action","2024","195","PG-13",NULL,NULL,"N/A"
70,"A Christmas Story","Comedy","1983","93","PG","7.9","77","163,771"
71,"There's Something in the Barn","Comedy","2023","100","15","5.7",NULL,"1,317"
72,"The Holiday","Comedy","2006","136","12A","6.9","52","310,047"
73,"The Silencing","Action","2020","93","15","6.2",NULL,"31,112"
74,"The Iron Claw","Biography","2023","130",NULL,NULL,NULL,"N/A"
75,"The Batman","Action","2022","176","15","7.8","72","748,843"
76,"Talk to Me","Horror","2022","95","15","7.1","76","109,250"
77,"Blue Beetle","Action","2023","127","12A","6.0","61","76,585"
78,"White Christmas","Comedy","1954","120","U","7.6","56","48,029"
79,"Anatomy of a Fall","Crime","2023","151","15","7.9","86","19,150"
80,"It's a Wonderful Life","Drama","1946","130","U","8.6","89","484,789"
81,"The Exorcist: Believer","Horror","2023","111","15","4.8","39","30,782"
82,"Everything Everywhere All at Once","Action","2022","139","15","7.8","81","493,334"
83,"Interstellar","Adventure","2014","169","12A","8.7","74","2,023,781"
84,"Sam Bahadur","Biography","2023","150",NULL,"8.2",NULL,"5,254"
85,"Harry Potter and the Philosopher's Stone","Adventure","2001","152","PG","7.6","65","836,675"
86,"Jawan","Action","2023","169","15","7.0",NULL,"79,734"
87,"The Colour Purple","Drama","2023","140","PG-13",NULL,NULL,"N/A"
88,"The Equalizer 3","Action","2023","109","15","6.9","58","75,798"
89,"The Suicide Squad","Action","2021","132","15","7.2","72","394,180"
90,"Spirited","Comedy","2022","127","12A","6.6","55","45,517"
91,"Renaissance: A Film by Beyoncé","Documentary","2023","169","15","8.9","86","2,248"
92,"Scott Pilgrim vs. the World","Action","2010","112","12A","7.5","69","457,107"
93,"The Shawshank Redemption","Drama","1994","142","15","9.3","82","2,829,192"
94,"Best. Christmas. Ever!","Comedy","2023","82","PG","4.3","34","7,150"
95,"Deadpool 3","Action","2024","N/A",NULL,NULL,NULL,"N/A"
96,"Last Christmas","Comedy","2019","103","12A","6.5","50","86,565"
97,"Fast Charlie","Action","2023","90",NULL,"5.9",NULL,"1,764"
98,"Scrooged","Comedy","1988","101","PG","6.9","38","111,619"
99,"Godzilla vs. Kong","Action","2021","113","12A","6.3","59","229,747"
100,"Past Lives","Drama","2023","105","12A","8.0","94","46,669"
101,"John Wick: Chapter 4","Action","2023","169","15","7.7","78","305,716"
102,"Dune","Action","2021","155","12A","8.0","74","732,010"
103,"Reptile","Crime","2023","134","15","6.8","52","71,119"
104,"It's a Wonderful Knife","Comedy","2023","87","R","5.3","51","2,861"
105,"Gladiator","Action","2000","155","15","8.5","67","1,582,283"
106,"Shin Godzilla","Action","2016","120","12A","6.8","67","32,472"
107,"Hunter Killer","Action","2018","121","15","6.6","43","70,652"
108,"The Wolf of Wall Street","Biography","2013","180","18","8.2","75","1,534,915"
109,"The Godfather","Crime","1972","175","15","9.2","100","1,971,977"
110,"Ferrari","Biography","2023","130","15","6.6","74","1,366"
111,"I.S.S.","Sci-Fi","2023","95","R","7.1",NULL,"64"
112,"12th Fail","Biography","2023","147","12A","9.2",NULL,"9,681"
113,"The Hunger Games: Catching Fire","Action","2013","146","12A","7.5","76","705,787"
114,"Willy Wonka & the Chocolate Factory","Family","1971","100","U","7.8","67","217,380"
115,"Miracle on 34th Street","Drama","1994","114","U","6.6",NULL,"41,740"
116,"Suicide Squad","Action","2016","123","15","5.9","40","712,835"
117,"Feast of the Seven Fishes","Comedy","2019","99","12","6.8","68","2,497"
118,"Sound of Freedom","Biography","2023","131","15","7.7","36","88,549"
119,"Godzilla","Action","2014","123","12A","6.4","62","431,688"
120,"Charlie and the Chocolate Factory","Adventure","2005","115","PG","6.7","72","512,677"
121,"Uncle Buck","Comedy","1989","100","12","7.1","51","105,499"
122,"Klaus","Animation","2019","96","PG","8.2","65","176,811"
123,"Jingle All The Way","Adventure","1996","89","PG","5.7","34","112,324"
124,"Office Christmas Party","Comedy","2016","105","15","5.9","42","85,631"
125,"Bottoms","Comedy","2023","91","15","6.8","74","24,059"
126,"A Christmas Carol","Animation","2009","96","PG","6.8","55","125,949"
127,"EXmas","Comedy","2023","93","12","5.7",NULL,"3,002"
128,"Christmas with the Kranks","Comedy","2004","99","PG","5.4","22","55,224"
129,"The Dark Knight","Action","2008","152","12A","9.0","84","2,810,588"
130,"Prometheus","Adventure","2012","124","15","7.0","64","634,634"
131,"Gremlins","Comedy","1984","106","15","7.3","70","241,335"
132,"Four Christmases","Comedy","2008","88","12A","5.7","41","78,188"
133,"Mean Girls","Comedy","2024","N/A",NULL,NULL,NULL,"N/A"
134,"The Naughty Nine","Adventure","2023","83","TV-PG","5.1",NULL,"1,261"
135,"Titanic","Drama","1997","194","12","7.9","75","1,256,650"
136,"Watchmen","Action","2009","162","18","7.6","56","573,668"
137,"Argylle","Action","2024","135","PG-13",NULL,NULL,"N/A"
138,"The Zone of Interest","Drama","2023","105","PG-13","8.0","94","1,564"
139,"The Santa Clause 2","Comedy","2002","104","U","5.7","48","62,435"
140,"The Lord of the Rings: The Fellowship of the Ring","Action","2001","178","PG","8.8","92","1,964,066"
141,"Christmas as Usual","Comedy","2023","88","12","5.5",NULL,"1,814"
142,"Gladiator 2","Action","2024","N/A",NULL,NULL,NULL,"N/A"
143,"When Evil Lurks","Horror","2023","99","15","7.0","75","16,193"
144,"Blade Runner 2049","Action","2017","164","15","8.0","81","636,112"
145,"Asteroid City","Comedy","2023","105","12A","6.6","75","89,644"
146,"A Good Person","Drama","2023","128","15","7.1","50","17,298"
147,"Old Dads","Comedy","2023","104","15","6.2","42","32,829"
148,"Krampus","Comedy","2015","98","15","6.2","49","81,117"
149,"The Boys in the Boat","Biography","2023","124","PG-13",NULL,NULL,"N/A"
150,"Guardians of the Galaxy Vol. 3","Action","2023","150","12A","7.9","64","350,096"
151,"Fight Club","Drama","1999","139","18","8.8","67","2,264,753"
152,"The Marsh King's Daughter","Crime","2023","109","R","5.9","46","4,359"
153,"Gran Turismo","Action","2023","134","12A","7.2","48","62,900"
154,"Migration","Animation","2023","92","PG","7.2",NULL,"396"
155,"Fargo","Crime","1996","98","18","8.1","86","710,534"
156,"Pain Hustlers","Crime","2023","123","15","6.5","44","31,223"
157,"Dumb Money","Biography","2023","105","15","6.9","66","20,169"
158,"Saw X","Horror","2023","118","18","6.6","60","58,532"
159,"Priscilla","Biography","2023","113","15","7.1","78","6,211"
160,"Beetlejuice 2","Comedy","2024","N/A",NULL,NULL,NULL,"N/A"
161,"A Christmas Story Christmas","Comedy","2022","98","PG","6.7","55","16,995"
162,"Pulp Fiction","Crime","1994","154","18","8.9","95","2,169,315"
163,"Love","Drama","2015","135","18","6.1","51","65,077"
164,"Dungeons & Dragons: Honour Among Thieves","Action","2023","134","12A","7.3","72","204,801"
